choice,dataset,num_points,sampling_mode,rre,rte,psnr,lpips,ssim,quality
VGGT,kitchen,500000,imagefps,0.3392,0.031011,19.290367126464844,0.2606133818626404,0.4504263699054718,0.3661965453214194
VGGT,kitchen,500000,random,0.3392,0.031011,19.65631103515625,0.23964737355709076,0.45444634556770325,0.38826612776715386
VGGT,kitchen,500000,voxels,0.3392,0.031011,19.203908920288086,0.268330842256546,0.4543972313404083,0.362153744178596
VGGT,kitchen,1000000,confidence,0.3392,0.031011,19.14595603942871,0.28039392828941345,0.4543924033641815,0.35363136990028515
VGGT,kitchen,1000000,imagefps,0.3392,0.031011,19.328393936157227,0.2608416974544525,0.4478767216205597,0.3652687875615691
VGGT,kitchen,1000000,random,0.3392,0.031011,19.415966033935547,0.242844358086586,0.45027559995651245,0.37940281464962156
VGGT,kitchen,1000000,voxels,0.3392,0.031011,18.790281295776367,0.2806798815727234,0.4497832655906677,0.3441728839942432
COLMAP,counter,60980,,0.029,0.002114,25.220706939697266,0.18889504671096802,0.8517950773239136,0.7550067725779562
VGGT,counter,1000,confidence,0.3433,0.032901,20.590347290039062,0.46840453147888184,0.6719642281532288,0.3915584133847183
VGGT,counter,1000,imagefps,0.3433,0.032901,20.65962028503418,0.4675038456916809,0.6735256314277649,0.3943103268364949
VGGT,counter,1000,random,0.3433,0.032901,20.72555923461914,0.4530649483203888,0.6743230819702148,0.4049106634538463
VGGT,counter,1000,voxels,0.3433,0.032901,20.663562774658203,0.4685838520526886,0.6744902729988098,0.39428078318819587
VGGT,counter,5000,confidence,0.3433,0.032901,20.55304527282715,0.37254011631011963,0.6614141464233398,0.4438735617686588
VGGT,counter,5000,imagefps,0.3433,0.032901,20.455013275146484,0.37942829728126526,0.6593354940414429,0.4365906046535226
VGGT,counter,5000,random,0.3433,0.032901,20.570524215698242,0.36738938093185425,0.6604145169258118,0.44679213352525604
VGGT,counter,5000,voxels,0.3433,0.032901,20.63693618774414,0.37628450989723206,0.6628137230873108,0.443934209049329
VGGT,counter,10000,confidence,0.3433,0.032901,20.550901412963867,0.34701481461524963,0.655447244644165,0.45610080348585547
VGGT,counter,10000,imagefps,0.3433,0.032901,20.42155647277832,0.3528895378112793,0.6519398093223572,0.44802802270538544
VGGT,counter,10000,random,0.3433,0.032901,20.50412368774414,0.34121090173721313,0.6541759967803955,0.4580737917821387
VGGT,counter,10000,voxels,0.3433,0.032901,20.49629783630371,0.35227909684181213,0.6551425457000732,0.4516618826933074
VGGT,counter,26752,ba,0.4211,0.016951,18.957015991210938,0.35327601432800293,0.6006486415863037,0.3906735019919313
VGGT,counter,50000,confidence,0.3433,0.032901,20.31496238708496,0.32029664516448975,0.6397407650947571,0.45903918369781516
VGGT,counter,50000,imagefps,0.3433,0.032901,20.22673988342285,0.3228197395801544,0.634071946144104,0.45253286913976487
